time,total_yggl,total_ygdn
2019-07-01 09:01:32,-0.001,54962.662
2019-07-01 09:02:31,-0.001,54962.662
2019-07-01 09:03:32,0.0,54962.662
2019-07-01 09:05:31,0.0,54962.662
2019-07-01 09:06:32,-0.001,54962.662
2019-07-01 09:07:31,0.001,54962.662
2019-07-01 09:09:32,0.0,54962.662
2019-07-01 09:10:31,0.0,54962.662
2019-07-01 09:11:32,0.0,54962.662
2019-07-01 09:13:32,0.0,54962.662
2019-07-01 09:14:31,0.0,54962.662
2019-07-01 09:15:32,0.0,54962.662
2019-07-01 09:16:34,0.0,54962.662
2019-07-01 09:18:34,0.0,54962.662
2019-07-01 09:19:34,0.0,54962.662
2019-07-01 09:20:34,-0.001,54962.662
2019-07-01 09:22:34,-0.001,54962.662
2019-07-01 09:23:34,0.0,54962.662
2019-07-01 09:24:34,0.0,54962.662
2019-07-01 09:26:34,0.0,54962.662
2019-07-01 09:27:34,0.0,54962.662
2019-07-01 09:28:34,0.0,54962.662
2019-07-01 09:30:34,0.001,54962.662
2019-07-01 09:31:34,0.0,54962.662
2019-07-01 09:33:34,0.0,54962.662
2019-07-01 09:34:35,0.0,54962.662
2019-07-01 09:35:34,-0.002,54962.662
2019-07-01 09:36:37,0.0,54962.662
2019-07-01 09:38:36,-0.001,54962.662
2019-07-01 09:39:37,-0.001,54962.662
2019-07-01 09:40:36,-0.001,54962.662
2019-07-01 09:42:36,0.0,54962.662
2019-07-01 09:43:37,0.0,54962.662
2019-07-01 09:44:36,0.0,54962.662
2019-07-01 09:46:37,0.001,54962.662
2019-07-01 09:47:37,0.0,54962.662
2019-07-01 09:48:36,0.0,54962.662
2019-07-01 09:50:37,-0.001,54962.662
2019-07-01 09:51:36,0.001,54962.662
2019-07-01 09:52:37,0.0,54962.662
2019-07-01 09:54:37,0.0,54962.662
2019-07-01 09:55:37,0.0,54962.662
2019-07-01 09:56:37,-0.001,54962.662
2019-07-01 09:58:37,0.001,54962.662
2019-07-01 09:59:37,0.0,54962.662
2019-07-01 10:00:37,0.0,54962.662
2019-07-01 10:01:38,-0.001,54962.662
2019-07-01 10:02:37,0.0,54962.662
2019-07-01 10:03:38,0.0,54962.662
2019-07-01 10:04:37,0.0,54962.662
2019-07-01 10:05:42,0.0,54962.662
2019-07-01 10:07:40,0.0,54962.662
2019-07-01 10:08:40,0.0,54962.662
